adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/tElnmtQ6yz1PjN1kePNl8yMSb59.jpg,"[16, 12, 10751, 35]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",5466.535,/yh64qw9mgXBvlaWDi7Q9tpUBAvH.jpg,2024-11-27,Moana 2,False,6.951,338
False,/3V4kLQg0kSqPLctI5ziYWabAZYF.jpg,"[878, 28, 12]",912649,en,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",4932.834,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,2024-10-22,Venom: The Last Dance,False,6.427,988
False,/au3o84ub27qTZiMiEc9UYzN74V3.jpg,"[28, 878, 53]",1035048,en,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,2596.571,/uQhYBxOVFU6s9agD49FnGHwJqG5.jpg,2024-11-07,Elevation,False,6.262,100
False,/h3fwlwHotd3JfV13HdW0mxDcxPD.jpg,"[35, 10749, 10770]",957119,en,Sidelined: The QB and Me,"Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?",1906.126,/f8H9sLin46B7ka4DEqjemGuiCOB.jpg,2024-11-29,Sidelined: The QB and Me,False,6.8,46
False,/nOoGIymGBNtA7AEN0B6nshSEQ1p.jpg,"[28, 80, 53]",974453,en,Absolution,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",1478.479,/cNtAslrDhk1i3IOZ16vF7df6lMy.jpg,2024-10-31,Absolution,False,6.1,105
False,/evFChfYeD2LqobEJf8iQsrYcGTw.jpg,"[28, 80, 53]",1182387,en,Armor,"Armored truck security guard James Brody is working with his son Casey transporting millions of dollars between banks when a team of thieves led by Rook orchestrate a takeover of their truck to seize the riches. Following a violent car chase, Rook soon has the armored truck surrounded and James and Casey find themselves cornered onto a decrepit bridge.",1457.857,/pnXLFioDeftqjlCVlRmXvIdMsdP.jpg,2024-10-30,Armor,False,5.5,45
False,/fSSCsemHjUJzLrr3Trp72Oa5Dj0.jpg,"[16, 9648, 878, 28]",1299652,en,Watchmen: Chapter II,"Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",1294.868,/4rBObJFpiWJOG7aIlRrOUniAkBs.jpg,2024-11-25,Watchmen: Chapter II,False,7.4,23
False,/euYIwmwkmz95mnXvufEmbL6ovhZ.jpg,"[28, 12, 36]",558449,en,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",1155.834,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,2024-11-13,Gladiator II,False,6.651,935
False,/mQZJoIhTEkNhCYAqcHrQqhENLdu.jpg,"[16, 878, 10751]",1184918,en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",1145.825,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,2024-09-12,The Wild Robot,False,8.4,3307
False,/uKb22E0nlzr914bA9KyA5CVCOlV.jpg,"[18, 14, 10749]",402431,en,Wicked,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",995.423,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,2024-11-20,Wicked,False,7.586,409
